id,name,type,breed,age,energy_level,size,good_with_kids,health_condition,other_pets_compatibility,environment_suitability,special_needs,location
1,Pet1,Dog,Beagle,5,2,Small,No,Neutered,Maybe,House,Behavioral support,Chicago
2,Pet2,Dog,Labrador,9,3,Large,Yes,Vaccinated,No,Apartment,Behavioral support,Dallas
3,Pet3,Dog,Beagle,1,2,Large,No,None,Maybe,Farm,Mobility issue,Philadelphia
4,Pet4,Cat,Sphynx,3,2,Small,No,None,No,Farm,Behavioral support,San Jose
5,Pet5,Cat,Sphynx,8,2,Small,Yes,Vaccinated,No,House,Behavioral support,Philadelphia
6,Pet6,Dog,Poodle,2,1,Medium,No,Vaccinated,No,Farm,Behavioral support,Chicago
7,Pet7,Cat,Bengal,10,2,Large,Yes,Vaccinated,No,House,None,Houston
8,Pet8,Cat,Siamese,9,2,Medium,No,None,No,House,Behavioral support,San Antonio
9,Pet9,Cat,Siamese,5,2,Large,Yes,Allergies,Maybe,Apartment,Behavioral support,San Diego
10,Pet10,Cat,Persian,10,1,Large,Yes,Vaccinated,Maybe,Farm,Behavioral support,Chicago
11,Pet11,Dog,Labrador,7,1,Large,No,Allergies,Maybe,Apartment,None,New York
12,Pet12,Dog,Bulldog,9,1,Small,No,Neutered,No,Apartment,Behavioral support,Philadelphia
13,Pet13,Cat,Persian,9,3,Small,Yes,Vaccinated,Yes,Farm,Mobility issue,Dallas
14,Pet14,Cat,Bengal,1,1,Medium,No,Vaccinated,Yes,Farm,None,Houston
15,Pet15,Dog,Bulldog,2,2,Large,No,Neutered,Maybe,House,Mobility issue,Los Angeles
16,Pet16,Dog,German Shepherd,7,1,Small,Yes,Vaccinated,Maybe,Farm,Behavioral support,Houston
17,Pet17,Cat,Maine Coon,7,3,Large,Yes,Allergies,No,House,Mobility issue,Los Angeles
18,Pet18,Cat,Sphynx,8,2,Medium,No,Vaccinated,Yes,House,None,Phoenix
19,Pet19,Cat,Maine Coon,9,3,Small,No,Vaccinated,No,Farm,Behavioral support,Philadelphia
20,Pet20,Dog,Poodle,4,3,Small,No,Neutered,No,House,Behavioral support,San Jose
21,Pet21,Dog,Bulldog,6,1,Large,Yes,Vaccinated,Maybe,Apartment,Mobility issue,San Diego
22,Pet22,Dog,Labrador,3,2,Large,No,Neutered,Yes,House,Behavioral support,San Antonio
23,Pet23,Cat,Maine Coon,3,1,Medium,No,Vaccinated,No,Farm,Mobility issue,Dallas
24,Pet24,Cat,Sphynx,8,2,Large,Yes,Allergies,No,Farm,Behavioral support,Dallas
25,Pet25,Dog,Labrador,7,3,Small,No,Neutered,Yes,Apartment,None,Los Angeles
26,Pet26,Dog,Beagle,8,1,Small,No,None,Yes,Farm,None,San Diego
27,Pet27,Dog,German Shepherd,7,2,Small,No,Vaccinated,No,House,None,Phoenix
28,Pet28,Cat,Sphynx,6,3,Large,Yes,Neutered,No,Farm,None,Houston
29,Pet29,Cat,Sphynx,10,2,Medium,No,Neutered,No,Farm,None,Chicago
30,Pet30,Dog,German Shepherd,8,1,Medium,No,Neutered,Yes,House,Mobility issue,New York
31,Pet31,Cat,Persian,4,3,Small,No,Allergies,Yes,Apartment,None,San Diego
32,Pet32,Dog,Labrador,6,3,Large,Yes,Allergies,Maybe,Apartment,Mobility issue,Phoenix
33,Pet33,Cat,Bengal,10,3,Medium,No,None,No,Farm,None,Houston
